Title: Atlas10
Description: Atlas 10 is the last one of the atlas series. Enjoy and give me your comments on
             these levels.
Author: Eric F Tchong
Email: serenata@setarnet.aw

####
#  #########
#      ##  ###
#  $#$###  $ #
#  *...## $  #
#  #*.### @$ #
#  .*.# # ## #
#    .#   # $#
#### ##   $  ##
   #     ##   #
   #  #  ##   #
   ############
Title: start atlas10
 # $$$$$ $.    $  #
 #       $. #  $$ #
 # $$$$$$$. $   $ #
 #         $  # $ #
 #..#$$$$ $  #    #
 # .     $ .#     #
 # .....$ .# ### ###
#######...#  #. $ .#
#..$  #..#####     #
#.$.$ ####         #
#....$   $   ##$#$##
####..$ $ $   @    #
   ##. $   $  ######
    #.......$.#
    ######....#
         ######
Title: atlas 99

    #####
    #...############
    #.$.#          #
   ##..$# $$ $ $ $ ###
 ###..$.#  # $ $ $ # #
 #...$..#  $ $ $ $$$ #
 #..$.###  $ $ $     #
 #.$..#    $ $ $$$$$ #
 #..$.#  $ $ $     # #
##...$##  $  $$$$$$$ #
#...$..##  $         #
#..$...  #  $   #    #
#.$....      $# $$$$ #
#... #.###.#         #
####@#...#..#   #### #
   # $...#    $$$  # #
   # #..*.  $$$      #
   # $   #       #####
   # #...#########
   #######
Title: last atlas 100

